Species,phylo,Museum,Number,IM,PES,TAIL,MANUS,State,Loco
Maxomys_hellwaldii,Maxomys_hellwaldii,LSUMZ,38317,0.62556618,0.380724175,0.489655172,0.540441176,1,Terrestrial
Maxomys_hellwaldii,Maxomys_hellwaldii,LSUMZ,39084,0.631303698,0.382870108,0.46686747,0.534031414,1,Terrestrial
Maxomys_hellwaldii,Maxomys_hellwaldii,LSUMZ,38319,0.640184645,0.381777529,0.491477273,0.559431525,1,Terrestrial
Maxomys_hellwaldii,Maxomys_hellwaldii,LSUMZ,38322,0.645876171,0.388209121,0.485333333,0.542606516,1,Terrestrial
Maxomys_musschenbroekii,Maxomys_musschenbroekii,LSUMZ,38340,0.64266326,0.432789433,0.477777778,0.575039494,1,Terrestrial
Maxomys_musschenbroekii,Maxomys_musschenbroekii,LSUMZ,38342,0.666150138,0.411251981,0.459558824,0.555926544,1,Terrestrial
Maxomys_musschenbroekii,Maxomys_musschenbroekii,LSUMZ,38346,0.672520661,0.411251981,0.47037037,0.596638655,1,Terrestrial
Maxomys_musschenbroekii,Maxomys_musschenbroekii,LSUMZ,38344,0.689344262,0.393143691,0.47985348,0.597039474,1,Terrestrial
Melomys_burtoni,Melomys_burtoni,AMNH,155368,0.660424995,0.416666667,0.507537688,0.712941176,2,General
Melomys_burtoni,Melomys_burtoni,AMNH,155361,0.660424995,0.417940877,0.574162679,0.702031603,2,General
Melomys_cervinipes,Melomys_cervinipes,AMNH,66021,0.597544568,0.470644851,0.488054608,0.705410822,3,Arboreal
Mus_bufo,Mus_bufo,LSUMZ,38733,0.66893039,0.369918699,0.464788732,0.62295082,1,Terrestrial
Mus_bufo,Mus_bufo,LSUMZ,38732,0.704688077,0.409551375,0.481481481,0.636666667,1,Terrestrial
Mus_musculus,Mus_musculus,LSUMZ,25285,0.696556427,0.405755396,0.470198675,0.662020906,1,Terrestrial
Mus_musculus,Mus_musculus,LSUMZ,34163,0.699637323,0.419400856,0.496551724,0.642857143,1,Terrestrial
Mus_musculus,Mus_musculus,LSUMZ,34233,0.699841017,0.379943503,0.473684211,0.655172414,1,Terrestrial
Mus_musculus,Mus_musculus,LSUMZ,25284,0.700183936,0.418381344,0.460606061,0.678688525,1,Terrestrial
Mus_musculus,Mus_musculus,LSUMZ,34153,0.720039293,0.433004231,0.496732026,0.627218935,1,Terrestrial
Musseromys_beneficus,Musseromys_beneficus,FMNH,198857,0.801289238,0.53115727,0.5116279,0.810606061,3,Arboreal
Paruromys_dominator,Paruromys_dominator,LSUMZ,38357,0.67506222,0.412690355,0.548571429,0.613188976,2,General
Paruromys_dominator,Paruromys_dominator,LSUMZ,38356,0.688342823,0.426587302,0.557971014,0.623450906,2,General
Paruromys_dominator,Paruromys_dominator,LSUMZ,38361,0.689252815,0.42215256,0.527985075,0.627815867,2,General
Paruromys_dominator,Paruromys_dominator,LSUMZ,38360,0.695829601,0.430950049,0.531914894,0.623809524,2,General
Phloeomys_pallidus,Phloeomys_pallidus,FMNH,214420,0.797124059,0.713155292,0.4332386,0.815527538,3,Arboreal
Phloeomys_pallidus,Phloeomys_pallidus,AMNH,274635,0.798366208,0.693709328,0.458361544,0.856177013,3,Arboreal
Phloeomys_pallidus,Phloeomys_pallidus,FMNH,193967,0.811206091,0.748543689,0.4255319,0.830759331,3,Arboreal
Phloeomys_pallidus,Phloeomys_pallidus,FMNH,175730,0.817077973,0.67472119,0.4533153,0.801526718,3,Arboreal
Phloeomys_pallidus,Phloeomys_pallidus,FMNH,214419,0.824993467,0.739791073,0.4738331,0.887009472,3,Arboreal
Pithecheir_melanurus,Pithecheir_melanurus,MZB,4052,0.718171296,0.494828958,0.540816327,0.807476636,3,Arboreal
Rattus_everetti,Rattus_everetti,FMNH,191078,0.688668224,0.478170478,0.5192308,0.601485149,1,Terrestrial
Rattus_everetti,Rattus_everetti,FMNH,183642,0.69592832,0.421679571,0.5083682,0.601553829,1,Terrestrial
Rattus_everetti,Rattus_everetti,FMNH,188468,0.703352847,0.450909091,0.4710744,0.693266833,1,Terrestrial
Rattus_everetti,Rattus_everetti,FMNH,191077,0.711271042,0.454602379,0.5327696,0.665525114,1,Terrestrial
Rattus_everetti,Rattus_everetti,FMNH,189881,0.712230216,0.448538755,0.516269,0.603468208,1,Terrestrial
Rattus_everetti,Rattus_everetti,FMNH,216581,0.714563329,0.434628975,0.4925926,0.568106312,1,Terrestrial
Rattus_hoffmanni,Rattus_hoffmanni,LSUMZ,39169,0.662886992,0.384308511,0.502688172,0.589413448,1,Terrestrial
Rattus_hoffmanni,Rattus_hoffmanni,LSUMZ,39166,0.665634675,0.417867435,0.48,0.575976845,1,Terrestrial
Rattus_hoffmanni,Rattus_hoffmanni,LSUMZ,39170,0.674627278,0.40472973,0.502840909,0.569252078,1,Terrestrial
Rattus_norvegicus,Rattus_norvegicus,LSUMZ,33986,0.694039183,0.450396825,0.471428571,0.613691932,1,Terrestrial
Rattus_norvegicus,Rattus_norvegicus,LSUMZ,34188,0.707377155,0.443472829,0.414322251,0.633783784,1,Terrestrial
Rattus_rattus,Rattus_rattus,LSUMZ,23697,0.691092656,0.444624091,0.595108696,0.660578387,2,General
Rattus_rattus,Rattus_rattus,LSUMZ,29378,0.705405405,0.43350864,0.555819477,0.670491803,2,General
Rattus_xanthurus,Rattus_xanthurus,LSUMZ,39199,0.701365597,0.518252934,0.577661431,0.66709347,1,Terrestrial
Rattus_xanthurus,Rattus_xanthurus,LSUMZ,39200,0.704178479,0.488811189,0.548117155,0.688757396,1,Terrestrial
Rattus_xanthurus,Rattus_xanthurus,LSUMZ,39205,0.706766917,0.516455696,0.57037037,0.692307692,1,Terrestrial
Rattus_xanthurus,Rattus_xanthurus,LSUMZ,39196,0.717581218,0.522915101,0.527149321,0.630695444,1,Terrestrial
Rhynchomys_soricoides,Rhynchomys_soricoides,FMNH,198883,0.672904286,0.368728121,0.3983516,0.565217391,1,Terrestrial
Rhynchomys_soricoides,Rhynchomys_soricoides,FMNH,214423,0.677026122,0.352976914,0.4164134,0.519817073,1,Terrestrial
Rhynchomys_soricoides,Rhynchomys_soricoides,FMNH,170980,0.681005053,0.36686009,0.4434783,0.525,1,Terrestrial
Rhynchomys_soricoides,Rhynchomys_soricoides,FMNH,198886,0.681782126,0.387898089,0.4054054,0.51292517,1,Terrestrial
Rhynchomys_soricoides,Rhynchomys_soricoides,FMNH,198884,0.688766609,0.36474359,0.4285714,0.524017467,1,Terrestrial
