Species,phylo,climb2,climb,MANUS,SMI,BI,HRI,HEB,OLI,URI,CI,FRI,GI,FEB,TRI,TSI,PES,IM,SI,Catalog_number,Total_length,Tail_length,TAIL
Apomys_datae,Apomys_datae,0.05,0,0.594040968,0.390522876,1.165577342,0.084422658,0.249455338,0.146493971,0.04600268,1.341066341,0.083842084,0.069190069,0.179080179,0.04370258,0.28831563,0.331347729,0.708449235,0.705566734,175662,259,122,0.4710425
Apomys_datae,Apomys_datae,0.05,0,0.601027397,0.426537875,1.115404169,0.076258261,0.256736146,0.14546244,0.04385584,1.263411025,0.071032186,0.073991861,0.169441361,0.045095168,0.29897511,0.340053763,0.697940503,0.671612903,175646,258,117,0.4534884
Apomys_datae,Apomys_datae,0.05,0,0.606164384,0.446145435,1.141607436,0.084199016,0.258064516,0.143437077,0.051420839,1.370759289,0.080371567,0.077948304,0.178917609,0.046258103,0.333235121,0.338830585,0.689267462,0.737759893,193898,263,123,0.4676806
Apomys_datae,Apomys_datae,0.05,0,0.620689655,0.414396887,1.13229572,0.069066148,0.247568093,0.152271797,0.043389275,1.306115235,0.068575468,0.076352068,0.165782962,0.039783491,0.312584574,0.370501059,0.689607603,0.681870011,170942,274,131,0.4781022
Apomys_datae,Apomys_datae,0.05,0,0.644262295,0.444978376,1.135992311,0.077366651,0.248438251,0.139183673,0.029795918,1.357168653,0.072950524,0.071144818,0.168652943,0.044970729,0.287919106,0.352898551,0.694193351,0.749696233,193940,272,125,0.4595588
Apomys_datae,Apomys_datae,0.05,0,0.647798742,0.416471689,1.150210576,0.075807206,0.256902199,0.145962733,0.044642857,1.354805726,0.074301295,0.075664622,0.168711656,0.041509434,0.303396226,0.338837517,0.682153713,0.724327628,193936,285,137,0.4807018
Apomys_gracilirostris,Apomys_gracilirostris,0,0,0.536379019,0.437405732,1.110105581,0.07340372,0.280542986,0.166372462,0.037069726,1.375860819,0.072490033,0.064153679,0.180500181,0.039251844,0.334299262,0.336863005,0.649122807,0.736318408,222321,299,155,0.5183946
Apomys_gracilirostris,Apomys_gracilirostris,0,0,0.541666667,0.441791045,1.080099502,0.078606965,0.272636816,0.157644002,0.043308792,1.344567946,0.070993188,0.069558982,0.182144138,0.042666667,0.3272,0.352159468,0.660498547,0.731677771,222320,285,151,0.5298246
Apomys_gracilirostris,Apomys_gracilirostris,0,0,0.570967742,0.44228904,1.061105723,0.069350145,0.271580989,0.166882277,0.052608883,1.368326765,0.069509137,0.064851308,0.183805088,0.041372087,0.325477874,0.371191136,0.662783661,0.727710843,222315,302,158,0.4904215
Apomys_gracilirostris,Apomys_gracilirostris,0,0,0.592891761,0.452558371,1.107799305,0.074018877,0.275707899,0.154007554,0.044901385,1.393049086,0.073092082,0.075241849,0.173772841,0.041923868,0.317386831,0.375081967,0.658182363,0.715840387,222319,287,150,0.5226481
Apomys_gracilirostris,Apomys_gracilirostris,0,0,0.617597293,0.42074364,1.081213307,0.076320939,0.271037182,0.162601626,0.042789902,1.38674829,0.066618653,0.081022686,0.161685272,0.035834848,0.298104388,0.31840796,0.660983705,0.695624604,222314,303,163,0.537953795
Apomys_iridensis,Apomys_iridensis,0.04,0,0.523274478,0.400480769,1.072596154,0.075,0.246153846,0.147381757,0.044341216,1.23125218,0.075340077,0.07917684,0.180676666,0.047308782,0.359206799,0.399408284,0.695325934,0.76376989,206335,274,132,0.4817518
